101731;220106;Siedziba Miejsko-Gminnej Komisji ds. Rozwiązywania Problemów Alkoholowych w Miastku|Miastko|Juliana Tuwima 1 |77-200 Miastko;54.0026 16.98265;51.919438 19.145136;APPROXIMATE;Poland;country/political
101732;220106;Przedszkole Miejskie Nr 3 w Miastku|Miastko|Juliana Tuwima 2 |77-200 Miastko;54.0026 16.98265;51.919438 19.145136;APPROXIMATE;Poland;country/political
101733;220106;Państwowa Straż Pożarna w Miastku|Miastko|ul. Konstytucji 3 Maja 2a |77-200 Miastko;54.0026 16.98265;54.0021563 16.9828271;ROOFTOP;Konstytucji 3 Maja 2, 77-200 Miastko, Poland;street_address/
101734;220106;Przedszkole Miejskie Nr 1 w Miastku|Miastko|ul. Koszalińska 19 |77-200 Miastko;54.0026 16.98265;54.00088 16.9755232;ROOFTOP;Koszalińska 19, 77-200 Miastko, Poland;street_address/
101735;220106;Zespoł Szkół Ogólnokształcących i Technicznych w Miastku|Miastko|ul. Młodzieżowa 3 |77-200 Miastko;54.0026 16.98265;54.0000613 16.9729673;RANGE_INTERPOLATED;Młodzieżowa 3, 77-200 Miastko, Poland;street_address/
101736;220106;Szkoła Podstawowa Nr 2 w Miastku|Miastko|ul. Kujawska 1 |77-200 Miastko;54.0026 16.98265;53.99425 16.973862;ROOFTOP;Kujawska 1, 77-200 Miastko, Poland;street_address/
101737;220106;Centrostal Konstrukcje Sp. zo.o w Miastku|Miastko|ul. Kaszubska 20 |77-200 Miastko;54.0026 16.98265;53.995633 16.961181;ROOFTOP;Kaszubska 20, 77-200 Miastko, Poland;street_address/
101738;220106;Zespół Szkół w Dretyniu|Dretyń| 26 |77-203 Miastko;54.1222837 16.9744052;54.0655084 17.0494938;ROOFTOP;Wieża ppoż. Dretyń, 77-200, Poland;premise/
101739;220106;Szkoła Podstawowa w Słosinku|Słosinko| 4 |77-211 Miastko;53.9404945 16.9522416;51.919438 19.145136;APPROXIMATE;Poland;country/political
101740;220106;Szkoła Podstawowa w Świerznie|Świerzno| 4 |77-222 Miastko;54.0492316 16.8588601;54.072195 16.850271;ROOFTOP;Świerzno 4, 77-207 Świerzno, Poland;street_address/
101741;220106;Świetlica Wiejska w Trzcinnie|Trzcinno| 8a |77-200 Miastko;54.0026 16.98265;54.086968 17.069518;ROOFTOP;Trzcinno 8A, 77-200 Trzcinno, Poland;street_address/
101742;220106;Szkoła Podstawowa w Piaszczynie|Piaszczyna| 6-7 |77-207 Miastko;54.0404901 17.1886984;50.095672 21.5379839;ROOFTOP;Paszczyna 7, 39-207 Paszczyna, Poland;street_address/
101743;220106;Środowiskowy Dom Samopomocy w Miastku|Miastko|Juliana Tuwima 1 |77-200 Miastko;54.0026 16.98265;51.919438 19.145136;CX;CX;CX
101744;220106;Szkoła Podstawowa Nr 2 w Miastku|Miastko|ul. Kujawska 1 |77-200 Miastko;54.0026 16.98265;53.99425 16.973862;CX;CX;CX
101745;220106;Szpital Miejski w Miastku sp z o.o.|Miastko|Wybickiego 30 |77-200 Miastko;54.0026 16.98265;54.0109535 16.9805867;ROOFTOP;Generała Wybickiego 30, 77-200 Miastko, Poland;street_address/
101746;220107;Gminny Ośrodek Kultury|Parchowo|ul. Kartuska 5 |77-124 Parchowo;54.2225294 17.6649645;54.3266328 17.7889343;RANGE_INTERPOLATED;Kartuska 5, Poland;street_address/
101747;220107;Wiejski Dom Kultury|Nakla|Długa 11 6|77-127 Nakla;54.1471582 17.6877237;54.146031 17.6889569;RANGE_INTERPOLATED;Długa 11, Poland;street_address/
101748;220107;Budynek po byłej szkole|Chośnica| 7 |77-124 Parchowo;54.2225294 17.6649645;54.267223 17.6707879;ROOFTOP;Chośnica 7, 77-124 Chośnica, Poland;street_address/
101749;220107;Sala wiejska|Żukówko| 17A |77-121 Pomysk Wielki;54.2281725 17.5901393;54.227397 17.5995909;ROOFTOP;Żukówko 17, 77-121 Żukówko, Poland;street_address/
101750;220108;Świetlica Wiejska w Studzienicach|Studzienice|ul.Brzozowa 5 |77-143 Studzienice;54.0541924 17.5871593;54.091738 17.578501;ROOFTOP;Brzozowa 5, 77-143 Studzienice, Poland;street_address/
101751;220108;Świetlica Wiejska w Półcznie|Półczno| 6 |77-125 Półczno;54.1296301 17.6462847;54.1521871 17.6387753;ROOFTOP;6 A, 77-143 Półczno, Poland;premise/
101752;220108;Ośrodek Kultury Gminy Studzienice w Ugoszczy|Ugoszcz| 12b |77-142 Ugoszcz;54.1108713 17.5467315;54.122867 17.5283239;ROOFTOP;Ugoszcz 12, 77-142 Ugoszcz, Poland;street_address/
101753;220109;Urząd Gminy w Trzebielinie|Trzebielino| 7a |77-235 Trzebielino;54.215158 17.1467601;54.1998818 17.0889989;ROOFTOP;Trzebielino 7A, 77-235 Trzebielino, Poland;street_address/
101754;220109;Biblioteka Gminy Trzebielino Filia w Suchorzu|Suchorze| 30 |77-235 Trzebielino;54.215158 17.1467601;50.044045 20.0059112;APPROXIMATE;Poland;postal_code_prefix/postal_code
101755;220109;Chrześcijański Ośrodek dla Osób Uzależnionych "Teen Challenge"|Broczyna| 11 |77-235 Trzebielino;54.215158 17.1467601;54.148092 16.965964;ROOFTOP;Broczyna 11, 77-203 Broczyna, Poland;street_address/
101756;220110;Zespół Szkół|Tuchomie|ul. ks. Jana Hinza 1 |77-133 Tuchomie;54.1152557 17.3367473;51.919438 19.145136;APPROXIMATE;Poland;country/political
101757;220110;Urząd Gminy|Tuchomie|ul. Jana III Sobieskiego 16 |77-133 Tuchomie;54.1152557 17.3367473;54.1152334 17.3371739;ROOFTOP;Jana III Sobieskiego 16, 77-133 Tuchomie, Poland;street_address/
101758;220110;Wiejski Ośrodek Kultury|Trzebiatkowa| 37 |77-134 Tuchomie;54.0777396 17.316696;54.064977 17.298717;ROOFTOP;Trzebiatkowa 37, 77-134 Trzebiatkowa, Poland;street_address/
101759;220110;Wiejski Ośrodek Kultury|Kramarzyny|ul. Leśna 1 |77-135 Tuchomie;54.0712052 17.2421726;54.059717 17.241708;ROOFTOP;Leśna 1, 77-135 Kramarzyny, Poland;street_address/
101760;220201;Zespół Szkół Nr 7|Chojnice|ul. Tuwima 2 |89-600 Chojnice;53.6944002 17.5569252;53.699683 17.546315;ROOFTOP;Tuwima 2, 89-600 Chojnice, Poland;street_address/
101761;220201;Szkoła Podstawowa Nr 1|Chojnice|ul. 31 Stycznia 21 |89-600 Chojnice;53.6944002 17.5569252;53.69512 17.5580259;ROOFTOP;31 Stycznia 21, 89-620 Chojnice, Poland;street_address/
101762;220201;Zespół Szkół Ponadgimnazjalnych Nr 1|Chojnice|ul. Kościerska 11 |89-604 Chojnice;49.2912062 -0.7187316;53.701108 17.573031;ROOFTOP;Kościerska 11, 89-620 Chojnice, Poland;street_address/
101763;220201;Zespół Szkół Specjalnych|Chojnice|ul. Jana Pawła II 11 |89-604 Chojnice;49.2912062 -0.7187316;53.7000076 17.5833276;ROOFTOP;Jana Pawła II 11, 89-620 Chojnice, Poland;street_address/
101764;220201;Szkoła Podstawowa nr 3|Chojnice|ul. Dworcowa 6 |89-620 Chojnice;53.6944002 17.5569252;53.690013 17.570822;ROOFTOP;Dworcowa 6, 89-620 Chojnice, Poland;street_address/
101765;220201;Zespół Szkół Ponadgimnazjalnych Nr 2|Chojnice|ul. Angowicka 45 |89-600 Chojnice;53.6944002 17.5569252;53.6879769 17.5667832;ROOFTOP;Angowicka 45, 89-600 Chojnice, Poland;street_address/
101766;220201;Świetlica Zakładu Energetycznego|Chojnice|ul. 14 Lutego 15 |89-600 Chojnice;53.6944002 17.5569252;53.691204 17.5538369;ROOFTOP;14 Lutego 15, 89-620 Chojnice, Poland;street_address/
101767;220201;Gimnazjum nr 2|Chojnice|ul. Szpitalna 3 |89-600 Chojnice;53.6944002 17.5569252;53.696321 17.557686;ROOFTOP;Szpitalna 3, 89-620 Chojnice, Poland;street_address/
101768;220201;Zespół Szkół|Chojnice|ul. Nowe Miasto 4-6 |89-600 Chojnice;53.6944002 17.5569252;53.6964688 17.5631063;ROOFTOP;Nowe Miasto 4-6, 89-620 Chojnice, Poland;street_address/
101769;220201;Gimnazjum nr 1|Chojnice|ul. Młodzieżowa 44 |89-604 Chojnice;49.2912062 -0.7187316;53.699649 17.568689;ROOFTOP;Młodzieżowa 44, 89-620 Chojnice, Poland;street_address/
