nazwa;typ;gmina;powiat;woj;teryt
Ancuty;wieś;Narew;hajnowski;podlaskie;35850
Andrespol;wieś;Andrespol;łódzki wschodni;łódzkie;413050
Andruszkowice;wieś;Samborzec;sandomierski;świętokrzyskie;806625
Andrychów;miasto;Andrychów;wadowicki;małopolskie;924023
Andrychy;wieś;Grabowo;kolneński;podlaskie;396943
Andryjanki;wieś;Boćki;bielski;podlaskie;24029
Andrzejewo;wieś;Andrzejewo;ostrowski;mazowieckie;394507
Andrzejewo;wieś;Szypliszki;suwalski;podlaskie;770034
Andrzejki;wieś;Łomża;łomżyński;podlaskie;400567
Andrzejki-Tyszki;wieś;Czerwin;ostrołęcki;mazowieckie;508106
Andrzejów;wieś;Kamień;chełmski;lubelskie;103906
Andrzejów;wieś;Godziszów;janowski;lubelskie;791148
Andrzejów;wieś;Urszulin;włodawski;lubelskie;108766
Andrzejów;wieś;Rusiec;bełchatowski;łódzkie;711480
Andrzejów;wieś;Łubnice;wieruszowski;łódzkie;203269
Andrzejów;wieś;Zduńska Wola;zduńskowolski;łódzkie;721656
Andrzejów;wieś;Brochów;sochaczewski;mazowieckie;9544
Andrzejów;wieś;Przyłęk;zwoleński;mazowieckie;633225
Andrzejów Duranowski;wieś;Sochaczew;sochaczewski;mazowieckie;738094
Andrzejówka;wieś;Biłgoraj;biłgorajski;lubelskie;885725
Andrzejówka;wieś;Mircze;hrubieszowski;lubelskie;894977
Andrzejówka;wieś;Muszyna;nowosądecki;małopolskie;454741
Andrzejówka;wieś;Policzna;zwoleński;mazowieckie;631752
Andzin;wieś;Nasielsk;nowodworski;mazowieckie;119787
Angowice;wieś;Chojnice;chojnicki;pomorskie;81330
Anielew;wieś;Mińsk Mazowiecki;miński;mazowieckie;681483
Anielew;wieś;Kramsk;koniński;wielkopolskie;288248
Anielewo;wieś;Kazimierz Biskupi;koniński;wielkopolskie;285698
Anielewo;wieś;Zagórów;słupecki;wielkopolskie;301240
Anielin;wieś;Boniewo;włocławski;kujawsko-pomorskie;858906
Anielin;wieś;Annopol;kraśnicki;lubelskie;786207
Anielin;wieś;Puławy;puławski;lubelskie;389883
Anielin;wieś;Łanięta;kutnowski;łódzkie;569154
Anielin;wieś;Łask;łaski;łódzkie;706875
Anielin;wieś;Poświętne;opoczyński;łódzkie;548175
Anielin;wieś;Wielgomłyny;radomszczański;łódzkie;555117
Anielin;wieś;Konopnica;wieluński;łódzkie;704988
Anielin;wieś;Stryków;zgierski;łódzkie;415818
Anielin;wieś;Gostynin;gostyniński;mazowieckie;564100
Anielin;wieś;Belsk Duży;grójecki;mazowieckie;613978
Anielin;wieś;Garbatka-Letnisko;kozienicki;mazowieckie;618510
Anielin;wieś;Magnuszew;kozienicki;mazowieckie;628543
Anielin;wieś;Nowe Miasto;płoński;mazowieckie;120715
Anielin;wieś;Skaryszew;radomski;mazowieckie;636809
Anielin;wieś;Żelazków;kaliski;wielkopolskie;211085
Anielin Swędowski;wieś;Stryków;zgierski;łódzkie;415847
Anielinek;wieś;Jakubów;miński;mazowieckie;673472
Anielino;wieś;Dobra;łobeski;zachodniopomorskie;774026
